RentalID,Year,RentalPrice,Province,Town,RoomType
223,1987,417,Ontario,Collingwood,Three bedroom units
224,1987,332,Ontario,Cornwall,Bachelor units
225,1987,392,Ontario,Cornwall,One bedroom units
226,1987,477,Ontario,Cornwall,Two bedroom units
227,1987,487,Ontario,Cornwall,Three bedroom units
228,1987,273,Ontario,Elliot Lake,Bachelor units
229,1987,323,Ontario,Elliot Lake,One bedroom units
230,1987,379,Ontario,Elliot Lake,Two bedroom units
231,1987,395,Ontario,Elliot Lake,Three bedroom units
232,1987,326,Ontario,Fergus,One bedroom units
233,1987,386,Ontario,Fergus,Two bedroom units
234,1987,279,Ontario,Greater Sudbury,Bachelor units
235,1987,365,Ontario,Greater Sudbury,One bedroom units
236,1987,469,Ontario,Greater Sudbury,Two bedroom units
237,1987,466,Ontario,Greater Sudbury,Three bedroom units
238,1987,327,Ontario,Guelph,Bachelor units
239,1987,403,Ontario,Guelph,One bedroom units
240,1987,459,Ontario,Guelph,Two bedroom units
241,1987,512,Ontario,Guelph,Three bedroom units
242,1987,394,Ontario,Haldimand County,One bedroom units
243,1987,440,Ontario,Haldimand County,Two bedroom units
244,1987,422,Ontario,Halton Hills,One bedroom units
245,1987,387,Ontario,Halton Hills,Two bedroom units
246,1987,287,Ontario,Hamilton,Bachelor units
247,1987,361,Ontario,Hamilton,One bedroom units
248,1987,435,Ontario,Hamilton,Two bedroom units
249,1987,553,Ontario,Hamilton,Three bedroom units
250,1987,352,Ontario,Hawkesbury,One bedroom units
251,1987,368,Ontario,Hawkesbury,Two bedroom units
252,1987,195,Ontario,Kapuskasing,Bachelor units
253,1987,275,Ontario,Kapuskasing,One bedroom units
254,1987,361,Ontario,Kapuskasing,Two bedroom units
255,1987,413,Ontario,Kapuskasing,Three bedroom units
256,1987,289,Ontario,Kawartha Lakes,Bachelor units
257,1987,403,Ontario,Kawartha Lakes,One bedroom units
258,1987,476,Ontario,Kawartha Lakes,Two bedroom units
259,1987,303,Ontario,Kenora,Bachelor units
260,1987,405,Ontario,Kenora,One bedroom units
261,1987,536,Ontario,Kenora,Two bedroom units
262,1987,288,Ontario,Kingston,Bachelor units
263,1987,391,Ontario,Kingston,One bedroom units
264,1987,460,Ontario,Kingston,Two bedroom units
265,1987,566,Ontario,Kingston,Three bedroom units
266,1987,169,Ontario,Kirkland Lake,One bedroom units
267,1987,305,Ontario,Kirkland Lake,Two bedroom units
268,1987,287,Ontario,Kitchener-Cambridge-Waterloo,Bachelor units
269,1987,366,Ontario,Kitchener-Cambridge-Waterloo,One bedroom units
270,1987,434,Ontario,Kitchener-Cambridge-Waterloo,Two bedroom units
271,1987,530,Ontario,Kitchener-Cambridge-Waterloo,Three bedroom units
272,1987,397,Ontario,Leamington,One bedroom units
273,1987,526,Ontario,Leamington,Two bedroom units
274,1987,650,Ontario,Leamington,Three bedroom units
275,1987,307,Ontario,London,Bachelor units
276,1987,387,Ontario,London,One bedroom units
277,1987,478,Ontario,London,Two bedroom units
278,1987,625,Ontario,London,Three bedroom units
279,1987,374,Ontario,Midland,Bachelor units
280,1987,403,Ontario,Midland,One bedroom units
281,1987,433,Ontario,Midland,Two bedroom units
282,1987,466,Ontario,Midland,Three bedroom units
283,1987,394,Ontario,Newcastle,One bedroom units
284,1987,417,Ontario,Newcastle,Two bedroom units
285,1987,234,Ontario,Norfolk,Bachelor units
286,1987,296,Ontario,North Bay,Bachelor units
287,1987,354,Ontario,North Bay,One bedroom units
288,1987,443,Ontario,North Bay,Two bedroom units
289,1987,401,Ontario,Orangeville,One bedroom units
290,1987,478,Ontario,Orangeville,Two bedroom units
291,1987,308,Ontario,Orillia,Bachelor units
292,1987,379,Ontario,Orillia,One bedroom units
293,1987,467,Ontario,Orillia,Two bedroom units
294,1987,378,Ontario,Oshawa,Bachelor units
295,1987,445,Ontario,Oshawa,One bedroom units
296,1987,504,Ontario,Oshawa,Two bedroom units
297,1987,596,Ontario,Oshawa,Three bedroom units
298,1987,354,Ontario,Ottawa-Gatineau,Bachelor units
299,1987,438,Ontario,Ottawa-Gatineau,One bedroom units
300,1987,538,Ontario,Ottawa-Gatineau,Two bedroom units
301,1987,624,Ontario,Ottawa-Gatineau,Three bedroom units
302,1987,356,Ontario,Ottawa-Gatineau,Bachelor units
303,1987,443,Ontario,Ottawa-Gatineau,One bedroom units
304,1987,565,Ontario,Ottawa-Gatineau,Two bedroom units
305,1987,668,Ontario,Ottawa-Gatineau,Three bedroom units
306,1987,288,Ontario,Owen Sound,Bachelor units
307,1987,363,Ontario,Owen Sound,One bedroom units
308,1987,429,Ontario,Owen Sound,Two bedroom units
309,1987,457,Ontario,Owen Sound,Three bedroom units
310,1987,369,Ontario,Pembroke,One bedroom units
311,1987,433,Ontario,Pembroke,Two bedroom units
312,1987,295,Ontario,Peterborough,Bachelor units
313,1987,419,Ontario,Peterborough,One bedroom units
314,1987,485,Ontario,Peterborough,Two bedroom units
315,1987,543,Ontario,Peterborough,Three bedroom units
316,1987,268,Ontario,St. Catharines-Niagara,Bachelor units
317,1987,378,Ontario,St. Catharines-Niagara,One bedroom units
318,1987,433,Ontario,St. Catharines-Niagara,Two bedroom units
319,1987,482,Ontario,St. Catharines-Niagara,Three bedroom units
320,1987,291,Ontario,St. Thomas,Bachelor units
321,1987,347,Ontario,St. Thomas,One bedroom units
322,1987,415,Ontario,St. Thomas,Two bedroom units
323,1987,265,Ontario,Sarnia,Bachelor units
324,1987,379,Ontario,Sarnia,One bedroom units
325,1987,445,Ontario,Sarnia,Two bedroom units
326,1987,603,Ontario,Sarnia,Three bedroom units
327,1987,281,Ontario,Sault Ste. Marie,Bachelor units
328,1987,393,Ontario,Sault Ste. Marie,One bedroom units
329,1987,456,Ontario,Sault Ste. Marie,Two bedroom units
330,1987,539,Ontario,Sault Ste. Marie,Three bedroom units
331,1987,199,Ontario,Smiths Falls,Bachelor units
332,1987,333,Ontario,Smiths Falls,One bedroom units
333,1987,420,Ontario,Smiths Falls,Two bedroom units
334,1987,353,Ontario,Stratford,One bedroom units
335,1987,421,Ontario,Stratford,Two bedroom units
336,1987,526,Ontario,Stratford,Three bedroom units
337,1987,271,Ontario,Temiskaming Shores,Bachelor units
338,1987,289,Ontario,Temiskaming Shores,One bedroom units
339,1987,407,Ontario,Temiskaming Shores,Two bedroom units
340,1987,263,Ontario,Thunder Bay,Bachelor units
341,1987,399,Ontario,Thunder Bay,One bedroom units
342,1987,508,Ontario,Thunder Bay,Two bedroom units
343,1987,504,Ontario,Thunder Bay,Three bedroom units
344,1987,294,Ontario,Tillsonburg,Bachelor units
345,1987,355,Ontario,Tillsonburg,One bedroom units
346,1987,412,Ontario,Tillsonburg,Two bedroom units
347,1987,251,Ontario,Timmins,Bachelor units
348,1987,411,Ontario,Timmins,One bedroom units
349,1987,506,Ontario,Timmins,Two bedroom units
350,1987,556,Ontario,Timmins,Three bedroom units
351,1987,377,Ontario,Toronto,Bachelor units
352,1987,470,Ontario,Toronto,One bedroom units
353,1987,567,Ontario,Toronto,Two bedroom units
354,1987,704,Ontario,Toronto,Three bedroom units
355,1987,381,Ontario,Trenton,One bedroom units
356,1987,442,Ontario,Trenton,Two bedroom units
357,1987,262,Ontario,Windsor,Bachelor units
358,1987,428,Ontario,Windsor,One bedroom units
359,1987,523,Ontario,Windsor,Two bedroom units
360,1987,578,Ontario,Windsor,Three bedroom units
361,1987,345,Ontario,Woodstock,One bedroom units
362,1987,412,Ontario,Woodstock,Two bedroom units
363,1987,285,Manitoba,Brandon,Bachelor units
364,1987,364,Manitoba,Brandon,One bedroom units
365,1987,457,Manitoba,Brandon,Two bedroom units
366,1987,398,Manitoba,Portage La Prairie,One bedroom units
367,1987,460,Manitoba,Portage La Prairie,Two bedroom units
368,1987,344,Manitoba,Selkirk,One bedroom units
369,1987,431,Manitoba,Selkirk,Two bedroom units
370,1987,290,Manitoba,Thompson,Bachelor units
371,1987,349,Manitoba,Thompson,One bedroom units
372,1987,390,Manitoba,Thompson,Two bedroom units
373,1987,283,Manitoba,Winnipeg,Bachelor units
374,1987,382,Manitoba,Winnipeg,One bedroom units
375,1987,487,Manitoba,Winnipeg,Two bedroom units
376,1987,610,Manitoba,Winnipeg,Three bedroom units
377,1987,306,Saskatchewan,Lloydminster,Bachelor units
378,1987,389,Saskatchewan,Lloydminster,One bedroom units
379,1987,467,Saskatchewan,Lloydminster,Two bedroom units
380,1987,486,Saskatchewan,Lloydminster,Three bedroom units
381,1987,202,Saskatchewan,Moose Jaw,Bachelor units
382,1987,327,Saskatchewan,Moose Jaw,One bedroom units
383,1987,430,Saskatchewan,Moose Jaw,Two bedroom units
384,1987,218,Saskatchewan,North Battleford,Bachelor units
385,1987,314,Saskatchewan,North Battleford,One bedroom units
386,1987,414,Saskatchewan,North Battleford,Two bedroom units
387,1987,488,Saskatchewan,North Battleford,Three bedroom units
388,1987,248,Saskatchewan,Prince Albert,Bachelor units
389,1987,361,Saskatchewan,Prince Albert,One bedroom units
390,1987,410,Saskatchewan,Prince Albert,Two bedroom units
391,1987,433,Saskatchewan,Prince Albert,Three bedroom units
392,1987,263,Saskatchewan,Regina,Bachelor units
393,1987,389,Saskatchewan,Regina,One bedroom units
394,1987,476,Saskatchewan,Regina,Two bedroom units
395,1987,581,Saskatchewan,Regina,Three bedroom units
396,1987,268,Saskatchewan,Saskatoon,Bachelor units
397,1987,366,Saskatchewan,Saskatoon,One bedroom units
398,1987,440,Saskatchewan,Saskatoon,Two bedroom units
399,1987,503,Saskatchewan,Saskatoon,Three bedroom units
400,1987,213,Saskatchewan,Swift Current,Bachelor units
401,1987,331,Saskatchewan,Swift Current,One bedroom units
402,1987,416,Saskatchewan,Swift Current,Two bedroom units
403,1987,512,Saskatchewan,Swift Current,Three bedroom units
404,1987,271,Saskatchewan,Yorkton,Bachelor units
405,1987,348,Saskatchewan,Yorkton,One bedroom units
406,1987,405,Saskatchewan,Yorkton,Two bedroom units
407,1987,456,Saskatchewan,Yorkton,Three bedroom units
